uri,name,population,area,elevation,lat,lon,country,region,populationDensity,foundingYear,abstract,country_name,region_name,numTriples,numAttributes,hasAbstract,abstractLen
"http://dbpedia.org/resource/Offa,_Nigeria","Offa, Nigeria",88975,,,8.149999618530273,4.716666698455811,http://dbpedia.org/resource/Nigeria,,,,,Nigeria,,162.0,3,0,0
"http://dbpedia.org/resource/Newton,_Massachusetts","Newton, Massachusetts",88923,47030000.0,30.48,42.33694458007812,-71.20972442626953,http://dbpedia.org/resource/United_States,,1925.84,,,United_States,,,6,0,0
"http://dbpedia.org/resource/Iga,_Mie","Iga, Mie",88895,558170000.0,,34.76666641235352,136.1333312988281,http://dbpedia.org/resource/Japan,,,,,Japan,,,4,0,0
http://dbpedia.org/resource/Słupsk,Słupsk,88835,52700000.0,22.0,54.4658317565918,17.02916717529297,http://dbpedia.org/resource/Poland,,,,,Poland,,,5,0,0
http://dbpedia.org/resource/Subotica,Subotica,88752,,109.0,46.10027694702148,19.66555595397949,http://dbpedia.org/resource/Serbia,,,,,Serbia,,,4,0,0
"http://dbpedia.org/resource/Santa_Barbara,_California","Santa Barbara, California",88665,108779500.634112,14.9352,34.41666793823242,-119.6999969482422,http://dbpedia.org/resource/United_States,,1755.575626719818,,,United_States,,,6,0,0
http://dbpedia.org/resource/Toviklin,Toviklin,88611,120000000.0,,6.833333492279053,1.816666722297668,http://dbpedia.org/resource/Benin,,,,,Benin,,,4,0,0
"http://dbpedia.org/resource/Mihara,_Hiroshima","Mihara, Hiroshima",88591,471550000.0,,34.39749908447266,133.07861328125,http://dbpedia.org/resource/Japan,,,,,Japan,,383.0,4,0,0
http://dbpedia.org/resource/Najibabad,Najibabad,88535,,315.0,29.61277770996094,78.34249877929688,http://dbpedia.org/resource/India,,,,,India,,277.0,4,0,0
http://dbpedia.org/resource/Gimje,Gimje,88479,545190000.0,,35.80166625976562,126.8888854980469,http://dbpedia.org/resource/South_Korea,,,,,South_Korea,,,4,0,0
http://dbpedia.org/resource/Berisso,Berisso,88470,,6.0,-34.87277603149414,-57.88583374023438,http://dbpedia.org/resource/Argentina,,,,,Argentina,,148.0,4,0,0
http://dbpedia.org/resource/Bertoua,Bertoua,88462,100000000.0,717.0,4.583333492279053,13.68333339691162,http://dbpedia.org/resource/Cameroon,,,,,Cameroon,,,5,0,0
http://dbpedia.org/resource/Nirmal,Nirmal,88433,32060000.0,350.0,19.10000038146973,78.3499984741211,http://dbpedia.org/resource/India,,,,,India,,,5,0,0
http://dbpedia.org/resource/Ooty,Ooty,88430,30360000.0,2240.0,11.40999984741211,76.69999694824219,http://dbpedia.org/resource/India,,,,,India,,551.0,5,0,0
http://dbpedia.org/resource/Fuladshahr,Fuladshahr,88426,,1700.0,32.48694610595703,51.39972305297852,,,,,,,,138.0,3,0,0
http://dbpedia.org/resource/Abu_El_Numrus,Abu El Numrus,88401,6510000.0,,29.95388221740723,31.22170066833496,http://dbpedia.org/resource/Egypt,,,,,Egypt,,70.0,4,0,0
"http://dbpedia.org/resource/Fukuroi,_Shizuoka","Fukuroi, Shizuoka",88395,108330000.0,,34.75016784667969,137.9246673583984,http://dbpedia.org/resource/Japan,,,,,Japan,,,4,0,0
"http://dbpedia.org/resource/Gotemba,_Shizuoka","Gotemba, Shizuoka",88370,194900000.0,,35.30869293212891,138.9346160888672,http://dbpedia.org/resource/Japan,,,,,Japan,,366.0,4,0,0
http://dbpedia.org/resource/Areka,Areka,88346,,1774.0,7.078055381774902,37.69944381713867,http://dbpedia.org/resource/Ethiopia,,,,,Ethiopia,,,4,0,0
http://dbpedia.org/resource/Mobara,Mobara,88330,99920000.0,,35.42852783203125,140.2880554199219,http://dbpedia.org/resource/Japan,,,,,Japan,,376.0,4,0,0
"http://dbpedia.org/resource/Champaign,_Illinois","Champaign, Illinois",88302,59932324.87317504,232.8672,,,,,1482.975919724095,,,,,,3,0,0
http://dbpedia.org/resource/Maladzyechna,Maladzyechna,88290,30000000.0,,54.32083511352539,26.85722160339355,http://dbpedia.org/resource/Belarus,,,,,Belarus,,,4,0,0
http://dbpedia.org/resource/Laem_Chabang,Laem Chabang,88271,88590000.0,,13.08333301544189,100.8833312988281,http://dbpedia.org/resource/Thailand,,996.0,,,Thailand,,,5,0,0
http://dbpedia.org/resource/Béja,Béja,88251,13050000.0,222.0,36.73333358764648,9.18333339691162,http://dbpedia.org/resource/Tunisia,,,,,Tunisia,,,5,0,0
http://dbpedia.org/resource/Delingha,Delingha,88227,27700000000.0,2982.0,37.36989974975586,97.36150360107422,http://dbpedia.org/resource/China,,,,,China,,,5,0,0
"http://dbpedia.org/resource/Melbourne,_Florida","Melbourne, Florida",88222,129421705.8734899,6.0,28.11666679382324,-80.63333129882812,,,740.47,,,,,,5,0,0
http://dbpedia.org/resource/Jamshoro,Jamshoro,88190,,,25.42440032958984,68.28109741210938,http://dbpedia.org/resource/Pakistan,,,,,Pakistan,,195.0,3,0,0
"http://dbpedia.org/resource/Jangipur,_Murshidabad","Jangipur, Murshidabad",88165,8200000.0,11.0,24.46910095214844,88.10320281982422,http://dbpedia.org/resource/India,,,,,India,,326.0,5,0,0
http://dbpedia.org/resource/Jaffna,Jaffna,88138,20200000.0,5.0,9.664722442626951,80.01667022705078,http://dbpedia.org/resource/Sri_Lanka,,,,,Sri_Lanka,,,5,0,0
http://dbpedia.org/resource/Sakhanu,Sakhanu,88097,,541.0,27.95472145080566,79.22750091552734,http://dbpedia.org/resource/India,,,,,India,,118.0,4,0,0
"http://dbpedia.org/resource/Hawthorne,_California","Hawthorne, California",88083,15773027.59194624,22.0,33.91722106933594,-118.3486099243164,,,,,,,,,4,0,0
http://dbpedia.org/resource/Janzur,Janzur,88073,,1.9812,32.81722259521484,13.01111125946045,http://dbpedia.org/resource/Libya,,,,,Libya,,130.0,4,0,0
http://dbpedia.org/resource/Sangrur,Sangrur,88043,,237.0,30.25055503845215,75.84416961669922,http://dbpedia.org/resource/India,,,,,India,,,4,0,0
http://dbpedia.org/resource/Damaturu,Damaturu,88014,2366000000.0,,11.74444484710693,11.96111106872559,http://dbpedia.org/resource/Nigeria,,,,,Nigeria,,,4,0,0
http://dbpedia.org/resource/Dubai_Silicon_Oasis,Dubai Silicon Oasis,88000,7200000.0,,25.12416648864746,55.38111114501953,http://dbpedia.org/resource/United_Arab_Emirates,,,,,United_Arab_Emirates,,,4,0,0
